time,rank,Maps_uid,Maps_number,Players_pid,Players_name
00:05.83,6,3CMwUdiAfd_ri2VdNVkUN05Uvkj,9,1208,pio c:
00:06.98,4,GA3xCbiB5P3OArt376aw_nS1Jdg,11,2479,nut
00:07.05,5,GA3xCbiB5P3OArt376aw_nS1Jdg,11,2243,sauucey
00:07.18,6,GA3xCbiB5P3OArt376aw_nS1Jdg,11,13,LeG〢mtat #mot
00:07.18,7,GA3xCbiB5P3OArt376aw_nS1Jdg,11,1974,Нтм Ď®丹ǥoNヅฟřћ*
00:07.22,8,GA3xCbiB5P3OArt376aw_nS1Jdg,11,1174,Нтм.Nad!
00:07.25,9,GA3xCbiB5P3OArt376aw_nS1Jdg,11,450,ImminentOmelet58
00:07.25,10,GA3xCbiB5P3OArt376aw_nS1Jdg,11,3515,ants
00:10.43,1,JL2c1KdpqsGegX_RYGtnuTVa406,12,5463,pastagrows
00:10.44,2,JL2c1KdpqsGegX_RYGtnuTVa406,12,542,ѕĸγ»МіǤ«ғฟ๏
00:10.54,3,JL2c1KdpqsGegX_RYGtnuTVa406,12,336,»ғฟ๏« Ŀιиκ.* Law
00:10.56,4,JL2c1KdpqsGegX_RYGtnuTVa406,12,159,LeG〢ςīмī
00:10.56,5,JL2c1KdpqsGegX_RYGtnuTVa406,12,4354,「ιиғяα」
00:10.58,6,JL2c1KdpqsGegX_RYGtnuTVa406,12,450,ImminentOmelet58
00:10.58,7,JL2c1KdpqsGegX_RYGtnuTVa406,12,2479,nut
00:10.61,8,JL2c1KdpqsGegX_RYGtnuTVa406,12,1977," ғฟ๏, LeG | Plast"
00:10.61,9,JL2c1KdpqsGegX_RYGtnuTVa406,12,1797,ױρאωєя.т³
00:10.61,10,JL2c1KdpqsGegX_RYGtnuTVa406,12,2748,мѕι dzam мםя
00:11.36,1,v1FqeLZT6KfgaDYZUYWDTQpqVuc,13,2114,凹 faiby ?
00:11.47,2,v1FqeLZT6KfgaDYZUYWDTQpqVuc,13,436,helvete
00:11.51,3,v1FqeLZT6KfgaDYZUYWDTQpqVuc,13,2919,r4' « т³
00:11.52,4,v1FqeLZT6KfgaDYZUYWDTQpqVuc,13,512,nexos
